,DATAHORA,COIN,SETUP,RESUMO,TIPO,STATUS,BUY AVG,BUY QNT,BUY CAPITAL,LEAVERAGE,,P1 DATE,P1 AVG,P1 QNT,P1 %,P1 PNL,P1 PNL %,P2 DATE,P2 AVG,P2 QNT,P2 %,P2 PNL,P2 PNL %,P3 DATE,P3 AVG,P3 QNT,P3 %,P3 PNL,P3 PNL %,FEES,DIA,TOTAL_PERCENT,LAST_EXIT_DATE,TOTAL_PNL
13,2026-01-22 08:49:00,DASH,15 Min Base Cunha descendente,OK,LONG,FECHADO,65.57,20,1311.4,1,,2026-01-22 09:35:00,65.9,20,100.0,6.6,0.5,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,1.05,2026-01-22,0.5,2026-01-22 09:35:00,6.6
14,2026-01-22 11:37:00,DASH,5 Min Base Cuha que virou canal,Stopado Cedo - Medo de perder,LONG,FECHADO,64.89,10,648.9,1,,2026-01-22 11:46:00,64.9,10,100.0,0.1,0.02,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.52,2026-01-22,0.02,2026-01-22 11:46:00,0.1
15,2026-01-22 11:48:00,DASH,5 Min Base Cuha que virou canal,Tentativa de Revidar,LONG,FECHADO,64.8,20,1296,1,,2026-01-22 12:02:00,64.71,20,100.0,-1.8,-0.14,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,1.04,2026-01-22,-0.14,2026-01-22 12:02:00,-1.8
16,2026-01-22 15:42:00,DASH,5 Min Base Cuha que virou canal,Tentativa de Revidar,LONG,FECHADO,63.92,20,1278.4,1,,2026-01-22 15:42:00,63.78,20,100.0,-2.8,-0.22,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,1.02,2026-01-22,-0.22,2026-01-22 15:42:00,-2.8
17,2026-01-22 15:44:00,DASH,5 Min Base Cuha que virou canal,Tentativa de Revidar,LONG,FECHADO,63.93,40,2557.2,1,,2026-01-22 15:46:00,63.65,40,100.0,-11.2,-0.44,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,2.05,2026-01-22,-0.44,2026-01-22 15:46:00,-11.2
18,2026-01-22 15:48:00,DASH,5 Min Base Cuha que virou canal,Tentativa de Revidar,LONG,FECHADO,63.5,50,3175,1,,2026-01-22 16:21:00,62.94,50,100.0,-28.0,-0.88,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,2.54,2026-01-22,-0.88,2026-01-22 16:21:00,-28.0
19,2026-01-23 08:32:00,DUSK,5 Min extremo com força no RSI,OK,LONG,FECHADO,0.15541,5000,777.05,1,,2026-01-23 10:16:00,0.15807,3750,75.0,10.0,1.72,2026-01-23 09:01:39,0.15609,1250,25.0,0.9,0.46,,,,0.0,0.0,0.0,0.62,2026-01-23,1.405,2026-01-23 10:16:00,10.9
20,2026-01-23 17:24:00,ICP,5 Min Extremo Divergência no RSI,Stopado Cedo - Medo de perder,LONG,FECHADO,3.436,150,515.4,1,,2026-01-23 22:05:00,3.457,150,100.0,3.1,0.6,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.41,2026-01-23,0.6,2026-01-23 22:05:00,3.1
21,2026-01-23 22:09:00,DUSK,5 Min Sobrevenda na Base da cunha,Não tirei lucro e voltou tudo,LONG,FECHADO,0.14989,2000,299.78,1,,2026-01-24 00:51:00,0.15164,2000,100.0,3.5,1.17,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.24,2026-01-23,1.17,2026-01-24 00:51:00,3.5
22,2026-01-23 23:10:00,ACU,5 Min Sobrevenda,Entrada Errada,LONG,FECHADO,0.317,150,47.55,1,,2026-01-24 00:00:00,0.26,150,100.0,-8.6,-18.09,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.04,2026-01-23,-18.09,2026-01-24 00:00:00,-8.6
23,2026-01-24 00:58:00,DUSK,5 Min sobrevenda,Tentativa de Revidar,LONG,FECHADO,0.15158,"3,000",454.74,1,,2026-01-24 05:10:00,0.14472,"3,000",100.0,-20.6,-4.53,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.36,2026-01-24,-4.53,2026-01-24 05:10:00,-20.6
